STORE|종합강의동|카페 Dictionary|image/cafe5/cafe5.jpg
PRODUCT|달고나 밀크티(only ice)|3900|image/cafe5/달고나 밀크티(only ice).jpg
PRODUCT|리얼스트로베리라떼(only Ice)|4000|image/cafe5/리얼스트로베리라떼(only Ice).jpg
PRODUCT|딸기 주스|4000|image/cafe5/딸기 주스.jpg
PRODUCT|바나나 주스|4000|image/cafe5/바나나 주스.jpg
PRODUCT|딸기바나나 주스|4100|image/cafe5/딸기바나나 주스.jpg
PRODUCT|Hot 스팀우유|4000|image/cafe5/Hot 스팀우유.jpg
PRODUCT|샷추가|500|image/cafe5/샷추가.jpg
PRODUCT|버블추가|500|image/cafe5/버블추가.jpg


CATEGORY|티
PRODUCT|Hot 수제 레몬티|3400|image/cafe5/Hot 수제 레몬티.jpg
PRODUCT|Ice 수제 레몬티|3700|image/cafe5/Ice 수제 레몬티.jpg
PRODUCT|Hot 수제 자몽티|3400|image/cafe5/Hot 수제 자몽티.jpg
PRODUCT|Ice 수제 자몽티|3700|image/cafe5/Ice 수제 자몽티.jpg
PRODUCT|Hot 유자차|3400|image/cafe5/Hot 유자차.jpg
PRODUCT|Ice 유자차|3700|image/cafe5/Ice 유자차.jpg
PRODUCT|Hot 얼그레이|3400|image/cafe5/Hot 얼그레이.jpg
PRODUCT|Ice 얼그레이|3700|image/cafe5/Ice 얼그레이.jpg
PRODUCT|Hot 캐모마일|3400|image/cafe5/Hot 캐모마일.jpg
PRODUCT|Ice 캐모마일|3700|image/cafe5/Ice 캐모마일.jpg
PRODUCT|Hot 페퍼민트|3400|image/cafe5/Hot 페퍼민트.jpg
PRODUCT|Ice 페퍼민트|3700|image/cafe5/Ice 페퍼민트.jpg
PRODUCT|Hot 블루베리 루이보스|3400|image/cafe5/Hot 블루베리 루이보스.jpg
PRODUCT|Ice 블루베리 루이보스|3700|image/cafe5/Ice 블루베리 루이보스.jpg
PRODUCT|Hot 제주오실록 녹차|3700|image/cafe5/Hot 제주오실록 녹차.jpg
PRODUCT|Ice 제주오실록 녹차|4000|image/cafe5/Ice 제주오실록 녹차.jpg
PRODUCT|Hot 제주오실록 달빛걷기|3700|image/cafe5/Hot 제주오실록 달빛걷기.jpg
PRODUCT|Ice 제주오실록 달빛걷기|4000|image/cafe5/Ice 제주오실록 달빛걷기.jpg
PRODUCT|Hot 오미자차|3600|image/cafe5/Hot 오미자차.jpg
PRODUCT|Ice 오미자차|3900|image/cafe5/Ice 오미자차.jpg
PRODUCT|Hot 생강차(only 10oz)|3700|image/cafe5/Hot 생강차(only 10oz).jpg
PRODUCT|체리블라썸 아이스티(only Ice)|4300|image/cafe5/체리블라썸 아이스티(only Ice).jpg


CATEGORY|스파클링 / 아이스티
PRODUCT|복숭아 아이스티|2900|image/cafe5/복숭아 아이스티.jpg
PRODUCT|레몬 아이스티|2900|image/cafe5/레몬 아이스티.jpg
PRODUCT|아샷추(복숭아)|3400|image/cafe5/아샷추(복숭아).jpg
PRODUCT|아샷추(레몬)|3400|image/cafe5/아샷추(레몬).jpg
PRODUCT|허니 레몬 블랙티|4000|image/cafe5/허니 레몬 블랙티.jpg
PRODUCT|허니 자몽 블랙티|4000|image/cafe5/허니 자몽 블랙티.jpg
PRODUCT|레몬라임 스파클링|3900|image/cafe5/레몬라임 스파클링.jpg
PRODUCT|자몽 스파클링|3900|image/cafe5/자몽 스파클링.jpg
PRODUCT|딸기 스파클링|3900|image/cafe5/딸기 스파클링.jpg
PRODUCT|청포도 스파클링|3900|image/cafe5/청포도 스파클링.jpg
PRODUCT|오미자 스파클링|3900|image/cafe5/오미자 스파클링.jpg
PRODUCT|체리콕|3900|image/cafe5/체리콕.jpg
PRODUCT|샷추가|500|image/cafe5/샷추가.jpg

CATEGORY|프라페
PRODUCT|카카오 프라페|3900|image/cafe5/카카오 프라페.jpg
