STORE|E스퀘어|카페 Gee|image/cafe4/cafe4.jpg
PRODUCT|I 트로피칼 크림슨티|3700|image/cafe4/I 트로피칼 크림슨티.jpg
PRODUCT|H 프리미엄녹차|3700|image/cafe4/H 프리미엄녹차.jpg
PRODUCT|I 프리미엄녹차|4000|image/cafe4/I 프리미엄녹차.jpg

CATEGORY|베이커리
PRODUCT|쿠키박스|1000|image/cafe4/쿠키박스.jpg
PRODUCT|더블초코쿠키|2500|image/cafe4/더블초코쿠키.jpg
PRODUCT|말차쿠키|2800|image/cafe4/말차쿠키.jpg
PRODUCT|화이트마카다미아쿠키|2800|image/cafe4/화이트마카다미아쿠키.jpg
PRODUCT|누텔라쿠키|3000|image/cafe4/누텔라쿠키.jpg
PRODUCT|오레오 쿠키|3200|image/cafe4/오레오 쿠키.jpg
PRODUCT|로투스 쿠키|3200|image/cafe4/로투스 쿠키.jpg
PRODUCT|황치즈 쿠키|3300|image/cafe4/황치즈 쿠키.jpg
PRODUCT|약과 쿠키|3400|image/cafe4/약과 쿠키.jpg
PRODUCT|돼지바 쿠키|3000|image/cafe4/돼지바 쿠키.jpg
PRODUCT|티라미수 쿠키|3300|image/cafe4/티라미수 쿠키.jpg
PRODUCT|오리지널 휘낭시에|1900|image/cafe4/오리지널 휘낭시에.jpg
PRODUCT|크린베리 치즈 휘낭시에|2100|image/cafe4/크린베리 치즈 휘낭시에.jpg
PRODUCT|초코 휘낭시에|2100|image/cafe4/초코 휘낭시에.jpg

CATEGORY|ADD
PRODUCT|샷추가|500|image/cafe4/샷추가.jpg
PRODUCT|버블추가|500|image/cafe4/버블추가.jpg
PRODUCT|디카페인으로 변경|500|image/cafe4/디카페인으로 변경.jpg
